Estación:       XALAPAob,  VER
Operada por:    SMN ESIME
Longitud:       96°54'14"  Longitud: 19°30'43  Altitud: 1360

DD/MM/AAAA HH:MM      DIRS      DIRR  RAPVIENTO2  RAPRAFAGA2      TEMP        HR        PB      PREC   RAD-SOL
05/11/2014 20:00         135         212        2.10        4.00        22.1          55       865.5         0.0       663.0
05/11/2014 20:10         130         198        2.40        4.40        22.2          55       865.4         0.0       542.0
05/11/2014 20:20         131         278        1.90        4.30        22.7          55       865.4         0.0       673.0
05/11/2014 20:30         128         247        2.10        4.80        23.1          54       865.3         0.0       583.0
05/11/2014 20:40         131         231        2.30        4.90        22.3          57       865.3         0.0       401.0
05/11/2014 20:50         131         208        1.90        3.80        22.4          55       865.2         0.0       594.0
05/11/2014 21:00         127         183        1.80        3.50        22.2          55       865.2         0.0       460.0
05/11/2014 21:10         123         210        1.80        3.70        21.5          57       865.2         0.0       225.0
05/11/2014 21:20         116         264        1.50        3.40        21.7          59       865.2         0.0       354.0
05/11/2014 21:30         139         267        1.30        3.10        21.2          60       865.2         0.0       248.0
05/11/2014 21:40         123         212        1.30        2.80        21.2          60       865.3         0.0       235.0
05/11/2014 21:50         140         284        1.30        3.40        20.8          62       865.4         0.0       206.0
05/11/2014 22:00         138         263        1.20        2.80        20.8          61       865.4         0.0       180.0
05/11/2014 22:10         133         235        1.20        3.10        20.5          64       865.5         0.0       176.0
05/11/2014 22:20         150         324        1.20        2.60        20.5          64       865.5         0.0       187.0
05/11/2014 22:30         129         317        1.30        3.10        20.4          65       865.5         0.0       120.0
05/11/2014 22:40         150         277        1.10        2.90        19.9          68       865.6         0.0       107.0
05/11/2014 22:50         146         303        1.50        4.30        19.9          68       865.7         0.0        77.0
05/11/2014 23:00         139         282        1.20        2.70        19.6          71       866.0         0.0        36.0
05/11/2014 23:10         138         244        1.20        2.80        19.3          71       866.1         0.0        22.0
05/11/2014 23:20         121         212        1.20        2.50        19.2          72       866.2         0.0        23.0
05/11/2014 23:30         132         238        1.10        2.80        18.9          73       866.3         0.0        13.0
05/11/2014 23:40         144         306        0.90        2.20        18.8          74       866.4         0.0         5.0
05/11/2014 23:50         158         203        1.40        2.90        18.6          75       866.5         0.0         1.0
06/11/2014 00:00         131         232        1.30        3.30        18.6          77       866.6         0.0         0.0
06/11/2014 00:10         152         215        1.40        2.70        18.3          77       866.7         0.0        -1.0
06/11/2014 00:20         144         232        1.20        3.70        18.2          80       866.8         0.0        -1.0
06/11/2014 00:30         131         226        1.30        2.70        17.8          91       866.9         0.0        -1.0
06/11/2014 00:40         135         257        1.00        2.10        17.5          92       866.9         0.0        -1.0
06/11/2014 00:50         127         299        0.90        1.90        17.4          94       867.1         0.0        -1.0
06/11/2014 01:00         119         299        0.80        2.30        17.2          94       867.3         0.0        -1.0
06/11/2014 01:10         105         175        1.10        2.20        17.1          95       867.4         0.0        -1.0
06/11/2014 01:20         129         222        1.20        2.30        17.1          94       867.6         0.0        -1.0
06/11/2014 01:30         128         291        0.90        2.20        16.9          94       867.6         0.0        -1.0
06/11/2014 01:40         124         246        0.60        1.80        16.8          95       867.7         0.0        -1.0
06/11/2014 01:50         131         233        0.70        1.50        16.8          96       867.9         0.0        -1.0
06/11/2014 02:00         148         274        1.00        2.30        16.8          95       868.0         0.0        -1.0
06/11/2014 02:10         156         202        1.40        2.70        16.7          96       868.2         0.0        -1.0
06/11/2014 02:20         182         281        1.30        2.90        16.6          96       868.3         0.0        -1.0
06/11/2014 02:30         143         271        0.90        2.50        16.7          95       868.4         0.0         0.0
06/11/2014 02:40         115         245        1.10        2.20        16.8          96       868.5         0.0         0.0
06/11/2014 02:50         141         269        0.80        1.90        16.7          96       868.7         0.0        -1.0
06/11/2014 03:00         144         331        0.80        1.70        16.7          96       868.8         0.0         0.0
06/11/2014 03:10         127         272        0.90        2.20        16.7          97       868.8         0.0         0.0
06/11/2014 03:20         119         216        1.00        2.00        16.8          96       868.9         0.0         0.0
06/11/2014 03:30         153         230        0.90        2.30        16.6          97       869.1         0.0         0.0
06/11/2014 03:40         129         287        0.90        1.70        16.6          98       869.2         0.0         0.0
06/11/2014 03:50         116         227        0.70        1.90        16.5          98       869.2         0.0         0.0
06/11/2014 04:00         129         223        0.90        1.80        16.5          99       869.2         0.0        -1.0
06/11/2014 04:10         193          17        0.50        1.40        16.4          99       869.2         0.0         0.0
06/11/2014 04:20         182         261        0.70        1.80        16.4          99       869.2         0.0         0.0
06/11/2014 04:30         169         308        0.70        1.50        16.4          99       869.2         0.0        -1.0
06/11/2014 04:40         165         221        0.90        1.50        16.3          99       869.2         0.0        -1.0
06/11/2014 04:50         159         208        0.90        1.80        16.4          99       869.2         0.0        -1.0
06/11/2014 05:00         159         227        1.00        1.80        16.3          99       869.1         0.2        -1.0
06/11/2014 05:10         163         227        0.70        1.40        16.3         100       869.1         0.0        -1.0
06/11/2014 05:20           0           0        0.00        0.00        16.2          99       869.0         0.0        -1.0
06/11/2014 05:30         160         238        0.80        1.30        16.1          97       869.0         0.0        -1.0
06/11/2014 05:40         158         225        0.80        1.60        16.1          97       868.9         0.0        -1.0
06/11/2014 05:50         197         254        0.70        1.40        15.9          97       868.9         0.2        -1.0
06/11/2014 06:00         192         239        0.60        1.10        15.7          98       868.8         0.0        -1.0
06/11/2014 06:10           0           0        0.00        0.00        15.7          98       868.8         0.0        -1.0
06/11/2014 06:20           0           0        0.00        0.00        15.8          99       868.7         0.0        -1.0
06/11/2014 06:30         100         149        0.70        1.20        15.8          99       868.7         0.0        -1.0
06/11/2014 06:40           0           0        0.00        0.00        15.7          99       868.7         0.2         0.0
06/11/2014 06:50           0           0        0.00        0.00        15.7          99       868.6         0.0         0.0
06/11/2014 07:00           0           0        0.00        0.00        15.7          99       868.6         0.0        -1.0
06/11/2014 07:10         205         236        0.60        1.10        15.7          99       868.6         0.0        -1.0
06/11/2014 07:20         219         275        0.60        1.20        15.7          99       868.5         0.0        -1.0
06/11/2014 07:30          67         109        0.50        0.90        15.7         100       868.5         0.0         0.0
06/11/2014 07:40         105         145        0.60        0.90        15.7         100       868.5         0.0         0.0
06/11/2014 07:50         100         127        0.50        1.00        15.8         100       868.4         0.0         0.0
06/11/2014 08:00          98         137        0.50        1.20        15.8         100       868.4         0.0         0.0
06/11/2014 08:10         107         139        0.80        1.30        15.7         100       868.3         0.2        -1.0
06/11/2014 08:20         103         147        0.80        1.20        15.7         100       868.3         0.0        -1.0
06/11/2014 08:30         106         168        0.70        1.10        15.7         100       868.2         0.0        -1.0
06/11/2014 08:40          86         133        0.70        1.10        15.7         100       868.2         0.0        -1.0
06/11/2014 08:50          78         118        0.70        1.10        15.7         100       868.2         0.0         0.0
06/11/2014 09:00          78         161        0.50        1.40        15.8         100       868.2         0.0         0.0
06/11/2014 09:10          57         214        0.60        1.40        15.7         100       868.2         0.0         0.0
06/11/2014 09:20          66         132        0.60        1.50        15.7         100       868.3         0.0         0.0
06/11/2014 09:30          75         150        0.60        1.10        15.8         100       868.3         0.0         0.0
06/11/2014 09:40          81         154        0.70        1.20        15.8         100       868.3         0.0         0.0
06/11/2014 09:50          77         194        0.60        1.40        15.8         100       868.3         0.0         0.0
06/11/2014 10:00          40         143        0.90        2.40        15.8         100       868.3         0.0         0.0
06/11/2014 10:10          30          84        1.30        3.00        15.7         100       868.4         0.0         0.0
06/11/2014 10:20          40         110        1.10        2.30        15.6         100       868.4         0.0         0.0
06/11/2014 10:30          28          81        1.30        2.90        15.5         100       868.4         0.0        -1.0
06/11/2014 10:40           1          57        1.30        2.30        15.2          99       868.5         0.0        -1.0
06/11/2014 10:50          30          97        0.70        1.40        15.3          98       868.5         0.0        -1.0
06/11/2014 11:00          71         126        0.70        1.20        15.5          97       868.5         0.0        -1.0
06/11/2014 11:10          85         128        0.60        1.10        15.5          97       868.6         0.0        -1.0
06/11/2014 11:20          77         126        0.80        1.40        15.6          98       868.6         0.0         0.0
06/11/2014 11:30         106         128        1.00        1.60        15.7          99       868.6         0.0         0.0
06/11/2014 11:40          74         125        0.60        1.50        15.6          99       868.7         0.0        -1.0
06/11/2014 11:50           0           0        0.00        0.00        15.6          99       868.8         0.0         0.0
06/11/2014 12:00           0           0        0.00        0.00        15.6          99       869.0         0.0         0.0
06/11/2014 12:10          31         116        0.50        1.00        15.6          99       869.0         0.0         0.0
06/11/2014 12:20           0           0        0.00        0.00        15.6          98       869.0         0.0         0.0
06/11/2014 12:30           0           0        0.00        0.00        15.7          99       869.1         0.0         1.0
06/11/2014 12:40           0           0        0.00        0.00        15.7          99       869.2         0.0         4.0
06/11/2014 12:50           0           0        0.00        0.00        15.8          99       869.4         0.0        10.0
06/11/2014 13:00           0           0        0.00        0.00        15.8          99       869.5         0.0        17.0
06/11/2014 13:10         236         291        0.60        1.10        15.8          99       869.6         0.0        26.0
06/11/2014 13:20         240         283        0.60        1.30        15.9          98       869.6         0.0        46.0
06/11/2014 13:30         264         305        1.00        2.40        16.1          96       869.7         0.0        86.0
06/11/2014 13:40         266         313        1.40        2.40        17.3          86       869.8         0.0       135.0
06/11/2014 13:50         266         297        1.60        2.90        16.8          88       869.9         0.0        76.0
06/11/2014 14:00         264         306        1.60        3.60        16.9          88       869.9         0.0       142.0
06/11/2014 14:10         261         303        2.00        4.30        17.3          83       870.0         0.2       178.0
06/11/2014 14:20         262         331        1.80        3.80        18.2          79       870.0         0.0       266.0
06/11/2014 14:30         273          72        1.20        2.80        19.2          74       870.1         0.0       251.0
06/11/2014 14:40         280         351        1.40        2.80        19.1          75       870.2         0.0       218.0
06/11/2014 14:50         284         337        1.70        3.40        19.1          72       870.3         0.0       227.0
06/11/2014 15:00         284         360        1.10        2.10        19.5          71       870.5         0.0       249.0
06/11/2014 15:10         269          56        1.10        2.30        20.1          67       870.5         0.0       386.0
06/11/2014 15:20         227         300        0.90        2.00        21.0          62       870.6         0.0       377.0
06/11/2014 15:30          33         209        0.60        1.60        21.3          60       870.7         0.0       307.0
06/11/2014 15:40          22         200        0.80        2.50        21.4          65       870.8         0.0       368.0
06/11/2014 15:50          75         143        1.10        2.90        21.6          69       870.9         0.0       278.0
06/11/2014 16:00          98         173        1.70        3.40        20.9          73       870.9         0.0       362.0
06/11/2014 16:10         113         247        1.70        3.80        21.4          73       870.9         0.0       509.0
06/11/2014 16:20          94         162        1.90        3.60        21.4          73       870.8         0.0       411.0
06/11/2014 16:30          87         271        1.40        3.20        21.6          72       870.8         0.0       419.0
06/11/2014 16:40         101         171        1.70        3.40        21.1          73       870.8         0.0       468.0
06/11/2014 16:50         116         155        2.00        3.90        21.8          70       870.7         0.0       525.0
06/11/2014 17:00         112         223        1.60        3.60        22.8          70       870.5         0.0       663.0
06/11/2014 17:10          94         163        2.00        4.30        22.2          69       870.5         0.0       500.0
06/11/2014 17:20          57         212        1.40        3.10        22.2          69       870.4         0.0       395.0
06/11/2014 17:30          66         260        1.30        3.50        22.2          69       870.3         0.0       459.0
06/11/2014 17:40          81         243        1.40        4.40        22.1          70       870.2         0.0       399.0
06/11/2014 17:50          54         163        1.30        3.50        22.5          68       870.0         0.0       428.0
06/11/2014 18:00          82         179        1.30        2.80        22.5          68       869.9         0.0       784.0
06/11/2014 18:10         137         240        2.00        4.00        22.2          68       869.7         0.0       639.0
06/11/2014 18:20         111         183        2.10        4.60        23.5          65       869.6         0.0       926.0
06/11/2014 18:30         113         224        1.90        4.50        24.2          61       869.5         0.0       992.0
06/11/2014 18:40          96         256        1.80        4.20        23.3          64       869.4         0.0       325.0
06/11/2014 18:50         114         175        2.50        5.30        23.5          65       869.3         0.0       986.0
06/11/2014 19:00          99         268        2.60        4.80        22.8          66       869.1         0.0       954.0
06/11/2014 19:10         100         237        2.80        5.70        24.0          62       869.0         0.0       939.0
06/11/2014 19:20          75         205        1.70        4.20        24.6          62       868.9         0.0       901.0
06/11/2014 19:30          91         168        2.30        4.50        23.5          65       868.8         0.0       803.0
06/11/2014 19:40          96         169        2.40        5.10        22.5          69       868.7         0.0       577.0
06/11/2014 19:50
